meter_id,customer_id,customer_type,region,country,has_solar,has_ev_charger,base_load_kw
MTR-00001,CUST-00001,Residential,Yorkshire,UK,False,True,0.5398169857507614
MTR-00002,CUST-00002,Residential,Bavaria,Germany,False,True,0.42579156985856115
MTR-00003,CUST-00003,Commercial,Bavaria,Germany,False,False,7.463829362785312
MTR-00004,CUST-00004,Residential,Scottish Highlands,UK,True,False,0.7300895466213712
MTR-00005,CUST-00005,Commercial,Scottish Highlands,UK,True,False,5.937614235964941
MTR-00006,CUST-00006,Commercial,Catalonia,Spain,False,False,2.2169762629681773
MTR-00007,CUST-00007,Residential,Yorkshire,UK,False,False,0.6752004317353965
MTR-00008,CUST-00008,Residential,Bavaria,Germany,True,False,0.5093129464759862
MTR-00009,CUST-00009,Residential,London,UK,False,False,0.6307606291036152
MTR-00010,CUST-00010,Residential,Yorkshire,UK,False,False,0.6297532048436226
MTR-00011,CUST-00011,Residential,Scottish Highlands,UK,False,False,0.5947460079712908
MTR-00012,CUST-00012,Residential,Catalonia,Spain,False,False,0.641517671754236
MTR-00013,CUST-00013,Residential,Bavaria,Germany,False,True,0.9171690109103507
MTR-00014,CUST-00014,Commercial,Bavaria,Germany,False,False,2.0325790047722028
MTR-00015,CUST-00015,Residential,Bavaria,Germany,True,True,0.5671888271141567
MTR-00016,CUST-00016,Residential,Bavaria,Germany,False,False,1.1539721340438063
MTR-00017,CUST-00017,Residential,Scottish Highlands,UK,True,False,1.12471321758436
MTR-00018,CUST-00018,Residential,Yorkshire,UK,True,False,0.7328193854700706
MTR-00019,CUST-00019,Residential,Catalonia,Spain,False,False,0.5955250845042199
MTR-00020,CUST-00020,Residential,Scottish Highlands,UK,False,False,0.7818913108470027
MTR-00021,CUST-00021,Residential,Scottish Highlands,UK,False,False,1.063704439896262
MTR-00022,CUST-00022,Residential,London,UK,False,False,0.8873286065040917
MTR-00023,CUST-00023,Commercial,Yorkshire,UK,True,False,2.3099475020863935
MTR-00024,CUST-00024,Residential,Catalonia,Spain,False,False,1.0239526451523695
MTR-00025,CUST-00025,Residential,Bavaria,Germany,False,False,0.7794500484591661
MTR-00026,CUST-00026,Residential,Bavaria,Germany,False,False,0.8696258663408587
MTR-00027,CUST-00027,Residential,Scottish Highlands,UK,False,False,0.5593400527642155
MTR-00028,CUST-00028,Residential,Catalonia,Spain,False,False,0.9614038460792615
MTR-00029,CUST-00029,Residential,Scottish Highlands,UK,False,False,0.4821641338131465
MTR-00030,CUST-00030,Commercial,Scottish Highlands,UK,False,False,5.635551065886366
MTR-00031,CUST-00031,Residential,Scottish Highlands,UK,True,False,0.9253183159366483
MTR-00032,CUST-00032,Residential,London,UK,True,False,1.0746471614933046
MTR-00033,CUST-00033,Commercial,Yorkshire,UK,False,False,6.808890865156492
MTR-00034,CUST-00034,Residential,Scottish Highlands,UK,False,False,0.41889255357138955
MTR-00035,CUST-00035,Residential,Catalonia,Spain,False,False,0.8529417664877277
MTR-00036,CUST-00036,Residential,Yorkshire,UK,False,True,0.3855861734069411
MTR-00037,CUST-00037,Commercial,Catalonia,Spain,True,False,3.4313169237643306
MTR-00038,CUST-00038,Residential,Catalonia,Spain,False,True,0.9531440654442842
MTR-00039,CUST-00039,Residential,London,UK,False,False,0.3760438969411682
MTR-00040,CUST-00040,Residential,Bavaria,Germany,False,True,1.1423458404305633
MTR-00041,CUST-00041,Residential,Yorkshire,UK,False,False,0.4236671370340219
MTR-00042,CUST-00042,Residential,Bavaria,Germany,False,False,1.1629922213181723
MTR-00043,CUST-00043,Residential,Bavaria,Germany,False,True,1.020795758476587
MTR-00044,CUST-00044,Residential,London,UK,False,False,0.8343138040197187
